Round,Global_Accuracy,Centralized_Loss,Total_Clients,Anomalous_Clients_Blocked,Blocked_Client_CIDs,Cumulative_Comm_Overhead_MB,Macro_F1,Weighted_F1,Macro_Precision,Macro_Recall,DP_Epsilon,Attack_Detection_Rate,False_Positive_Rate
1,0.1737,1.9432,5,1,4,2.17,0.0423,0.0514,0.0248,0.1429,47.985,1.0,0.0
2,0.1737,1.9431,5,1,4,4.35,0.0423,0.0514,0.0248,0.1429,67.861,1.0,0.0
3,0.1737,1.9429,5,1,4,6.52,0.0423,0.0514,0.0248,0.1429,83.113,1.0,0.0
4,0.1737,1.9426,5,1,4,8.69,0.0423,0.0514,0.0248,0.1429,95.971,1.0,0.0
5,0.1737,1.9424,5,1,4,10.86,0.0423,0.0514,0.0248,0.1429,107.298,1.0,0.0
6,0.1737,1.9421,5,1,4,13.04,0.0423,0.0514,0.0248,0.1429,117.539,1.0,0.0
7,0.1737,1.9419,5,1,4,15.21,0.0423,0.0514,0.0248,0.1429,126.957,1.0,0.0
8,0.1737,1.9418,5,1,4,17.38,0.0423,0.0514,0.0248,0.1429,135.723,1.0,0.0
9,0.1737,1.9416,5,1,4,19.55,0.0423,0.0514,0.0248,0.1429,143.956,1.0,0.0
10,0.1737,1.9414,5,1,4,21.73,0.0423,0.0514,0.0248,0.1429,151.743,1.0,0.0
11,0.1737,1.9413,5,1,4,23.9,0.0423,0.0514,0.0248,0.1429,159.149,1.0,0.0
12,0.1737,1.9411,5,1,4,26.07,0.0423,0.0514,0.0248,0.1429,166.226,1.0,0.0
13,0.1737,1.941,5,1,4,28.24,0.0423,0.0514,0.0248,0.1429,173.013,1.0,0.0
14,0.1737,1.9407,5,1,4,30.42,0.0423,0.0514,0.0248,0.1429,179.544,1.0,0.0
15,0.1737,1.9406,5,1,4,32.59,0.0423,0.0514,0.0248,0.1429,185.846,1.0,0.0
